url,normalized_url,canonical_url,host,page_type,discovery_method,http_status,final_url,mime_type,byte_size,fetch_timestamp,etag,last_modified,content_hash,parser_used,extraction_status,indexing_status,failure_reason,retry_count,is_critical,manual_review_required
https://www.uettaxila.edu.pk/,https://www.uettaxila.edu.pk,https://www.uettaxila.edu.pk,web.uettaxila.edu.pk,home,seed,200,https://www.uettaxila.edu.pk/,text/html,45210,2026-07-26T02:00:00Z,"W/""etag""",2025-09-01T00:00:00Z,3c600ee4af10ce33c72d0d80e08eb26a,trafilatura,success,indexed,,0,True,False
https://web.uettaxila.edu.pk/,https://web.uettaxila.edu.pk,https://web.uettaxila.edu.pk,web.uettaxila.edu.pk,home,seed,200,https://web.uettaxila.edu.pk/,text/html,48120,2026-07-26T02:00:00Z,"W/""etag""",2025-09-01T00:00:00Z,97714f7fd6be146ca1ed020b8a93e9ee,trafilatura,success,indexed,,0,True,False
https://admissions.uettaxila.edu.pk/,https://admissions.uettaxila.edu.pk,https://admissions.uettaxila.edu.pk,admissions.uettaxila.edu.pk,admissions_portal,seed,200,https://admissions.uettaxila.edu.pk/,text/html,52100,2026-07-26T02:00:00Z,"W/""etag""",2025-09-01T00:00:00Z,096342af03c5f269a135237ccf405a03,trafilatura,success,indexed,,0,True,False
https://admissions.uettaxila.edu.pk/Fees.php,https://admissions.uettaxila.edu.pk/Fees.php,https://admissions.uettaxila.edu.pk/Fees.php,admissions.uettaxila.edu.pk,fees,seed,200,https://admissions.uettaxila.edu.pk/Fees.php,text/html,32400,2026-07-26T02:00:00Z,"W/""etag""",2025-09-01T00:00:00Z,776829f6a35e995dc005ec87d9ad2d3b,trafilatura,success,indexed,,0,True,False
https://admissions.uettaxila.edu.pk/ProcedureAndRequirements.php,https://admissions.uettaxila.edu.pk/ProcedureAndRequirements.php,https://admissions.uettaxila.edu.pk/ProcedureAndRequirements.php,admissions.uettaxila.edu.pk,requirements,seed,200,https://admissions.uettaxila.edu.pk/ProcedureAndRequirements.php,text/html,41200,2026-07-26T02:00:00Z,"W/""etag""",2025-09-01T00:00:00Z,8fa0b3a5999d4f9ca68e2203a3cc50a5,trafilatura,success,indexed,,0,True,False
https://admissions.uettaxila.edu.pk/Schedule.php,https://admissions.uettaxila.edu.pk/Schedule.php,https://admissions.uettaxila.edu.pk/Schedule.php,admissions.uettaxila.edu.pk,schedule,seed,200,https://admissions.uettaxila.edu.pk/Schedule.php,text/html,29800,2026-07-26T02:00:00Z,"W/""etag""",2025-09-01T00:00:00Z,ff20db043ab564c9eb236e3ff79347c9,trafilatura,success,indexed,,0,True,False
https://admissions.uettaxila.edu.pk/Seats_Allocation.php,https://admissions.uettaxila.edu.pk/Seats_Allocation.php,https://admissions.uettaxila.edu.pk/Seats_Allocation.php,admissions.uettaxila.edu.pk,seats,seed,200,https://admissions.uettaxila.edu.pk/Seats_Allocation.php,text/html,38900,2026-07-26T02:00:00Z,"W/""etag""",2025-09-01T00:00:00Z,5337b3a678c06e3d7e61b243957979e2,trafilatura,success,indexed,,0,True,False
https://admissions.uettaxila.edu.pk/Merit_List.php,https://admissions.uettaxila.edu.pk/Merit_List.php,https://admissions.uettaxila.edu.pk/Merit_List.php,admissions.uettaxila.edu.pk,merit,seed,200,https://admissions.uettaxila.edu.pk/Merit_List.php,text/html,35600,2026-07-26T02:00:00Z,"W/""etag""",2025-09-01T00:00:00Z,42ecdb74bd4ec1caf0cd8c6bb287a022,trafilatura,success,indexed,,0,True,False
https://admissions.uettaxila.edu.pk/ProspectusAvailability.php,https://admissions.uettaxila.edu.pk/ProspectusAvailability.php,https://admissions.uettaxila.edu.pk/ProspectusAvailability.php,admissions.uettaxila.edu.pk,prospectus_info,seed,200,https://admissions.uettaxila.edu.pk/ProspectusAvailability.php,text/html,18200,2026-07-26T02:00:00Z,"W/""etag""",2025-09-01T00:00:00Z,33f3789ab2a43e7d3762a9a9ff5abcaa,trafilatura,success,indexed,,0,False,False
https://web.uettaxila.edu.pk/academics/,https://web.uettaxila.edu.pk/academics,https://web.uettaxila.edu.pk/academics,web.uettaxila.edu.pk,academics,navigation,200,https://web.uettaxila.edu.pk/academics/,text/html,24500,2026-07-26T02:00:00Z,"W/""etag""",2025-09-01T00:00:00Z,b76367ad9420639e7aa9048e26e8c2ee,trafilatura,success,indexed,,0,False,False
https://web.uettaxila.edu.pk/departments/,https://web.uettaxila.edu.pk/departments,https://web.uettaxila.edu.pk/departments,web.uettaxila.edu.pk,departments_index,navigation,200,https://web.uettaxila.edu.pk/departments/,text/html,31200,2026-07-26T02:00:00Z,"W/""etag""",2025-09-01T00:00:00Z,f87511bbaea43147487f4cab76dd02e1,trafilatura,success,indexed,,0,True,False
https://web.uettaxila.edu.pk/faculty/,https://web.uettaxila.edu.pk/faculty,https://web.uettaxila.edu.pk/faculty,web.uettaxila.edu.pk,faculty_index,navigation,200,https://web.uettaxila.edu.pk/faculty/,text/html,65400,2026-07-26T02:00:00Z,"W/""etag""",2025-09-01T00:00:00Z,7867808466cfb1630178b9a09120c258,trafilatura,success,indexed,,0,False,False
https://web.uettaxila.edu.pk/campus-life/,https://web.uettaxila.edu.pk/campus-life,https://web.uettaxila.edu.pk/campus-life,web.uettaxila.edu.pk,campus_life,navigation,200,https://web.uettaxila.edu.pk/campus-life/,text/html,22100,2026-07-26T02:00:00Z,"W/""etag""",2025-09-01T00:00:00Z,6f330d845882555cd7c174a98607dff2,trafilatura,success,indexed,,0,False,False
https://web.uettaxila.edu.pk/research/,https://web.uettaxila.edu.pk/research,https://web.uettaxila.edu.pk/research,web.uettaxila.edu.pk,research,navigation,200,https://web.uettaxila.edu.pk/research/,text/html,19800,2026-07-26T02:00:00Z,"W/""etag""",2025-09-01T00:00:00Z,10975e3579b3411154d807181b166b2d,trafilatura,success,indexed,,0,False,False
https://web.uettaxila.edu.pk/oric/,https://web.uettaxila.edu.pk/oric,https://web.uettaxila.edu.pk/oric,web.uettaxila.edu.pk,oric,navigation,200,https://web.uettaxila.edu.pk/oric/,text/html,28400,2026-07-26T02:00:00Z,"W/""etag""",2025-09-01T00:00:00Z,48ce016ea1f779adc40a6445e1c0ca09,trafilatura,success,indexed,,0,False,False
